Date,Value_Brazil_Index
2024-03-22,6925.47
2024-03-25,6953.89
2024-03-26,6855.57
2024-03-27,6866.38
2024-03-28,6788.02
2024-04-01,6679.64
2024-04-02,6617.27
2024-04-03,6631.02
2024-04-04,6590.93
2024-04-05,6619.89
2024-04-08,6719.11
2024-04-09,6596.17
2024-04-10,6532.04
2024-04-11,6510.45
2024-04-12,6564.32
2024-04-15,6447.16
2024-04-16,6280.54
2024-04-17,6340.69
2024-04-18,6280.62
2024-04-19,6340.46
2024-04-22,6375.44
2024-04-23,6402.05
2024-04-24,6372.18
2024-04-25,6351.55
2024-04-26,6473.62
2024-04-29,6436.44
2024-04-30,6293.04
2024-05-02,6387.33
2024-05-03,6314.82
2024-05-06,6280.20
2024-05-07,6261.58
2024-05-08,6233.72
2024-05-09,6247.38
2024-05-10,6323.98
2024-05-13,6248.48
2024-05-14,6228.27
2024-05-15,6169.36
2024-05-16,6199.41
2024-05-17,6220.50
2024-05-20,6271.34
2024-05-21,6204.93
2024-05-22,6166.24
2024-05-23,6263.57
2024-05-24,6214.30
2024-05-28,6279.41
2024-05-29,6252.25
2024-05-31,6177.99
2024-06-03,6227.27
2024-06-04,6175.95
2024-06-05,6078.71
2024-06-06,6157.39
