Date,Price,Open,High,Low,Volume,Chg%
"Jun 06, 2024","14,950.00","14,940.00","14,995.00","14,885.00",3.76K,0.37%
"Jun 05, 2024","14,895.00","14,745.00","15,015.00","14,720.00",9.71K,1.05%
"Jun 04, 2024","14,740.00","14,780.00","14,800.00","14,665.00",9.16K,-0.67%
"Jun 03, 2024","14,840.00","14,850.00","14,950.00","14,730.00",10.73K,-1.43%
"May 31, 2024","15,055.00","15,210.00","15,270.00","14,890.00",25.19K,-1.28%
"May 30, 2024","15,250.00","15,295.00","15,310.00","15,195.00",12.16K,-0.59%
"May 29, 2024","15,340.00","15,320.00","15,400.00","15,295.00",15.27K,0.36%
"May 28, 2024","15,285.00","15,235.00","15,335.00","15,235.00",11.31K,0.20%
"May 27, 2024","15,255.00","15,350.00","15,350.00","15,165.00",18.01K,-0.55%
"May 24, 2024","15,340.00","15,390.00","15,400.00","15,280.00",19.47K,0.16%
"May 23, 2024","15,315.00","15,245.00","15,390.00","15,210.00",28.34K,0.62%
"May 22, 2024","15,220.00","15,165.00","15,285.00","15,150.00",22.21K,0.43%
"May 21, 2024","15,155.00","15,170.00","15,205.00","15,115.00",18.03K,0.07%
"May 20, 2024","15,145.00","15,085.00","15,205.00","15,070.00",22.30K,1.00%
"May 17, 2024","14,995.00","14,905.00","15,045.00","14,905.00",1.02K,1.11%
"May 16, 2024","14,830.00","14,890.00","14,995.00","14,695.00",1.52K,0.20%
"May 15, 2024","14,800.00","14,900.00","14,900.00","14,630.00",1.35K,-0.77%
"May 14, 2024","14,915.00","14,880.00","15,000.00","14,875.00",1.62K,-0.03%
"May 13, 2024","14,920.00","15,090.00","15,090.00","14,800.00",1.69K,-0.30%
"May 10, 2024","14,965.00","15,000.00","15,085.00","14,790.00",3.86K,-2.03%
"May 09, 2024","15,275.00","15,430.00","15,440.00","15,050.00",4.24K,-0.91%
