Date,China_Cotton_FT_Price,China_Cotton_FT_Open,China_Cotton_FT_High,China_Cotton_FT_Low,China_Cotton_FT_Volume,China_Cotton_FT_Chg
2024-05-09,176542.34,178250.45,178609.92,173824.49,4.24,-0.91
2024-05-10,173034.31,173364.00,174512.33,170870.35,3.86,-2.03
2024-05-13,172155.91,174407.20,174490.20,170772.76,1.69,-0.30
2024-05-14,172116.12,171841.68,173257.50,171593.54,1.62,-0.03
2024-05-15,170981.44,171999.64,172413.86,168850.68,1.35,-0.77
2024-05-16,171405.14,172050.97,173547.63,169765.46,1.52,0.20
2024-05-17,172836.87,172422.53,174042.06,171826.33,1.02,1.11
2024-05-20,174309.86,173942.12,175371.43,173452.69,22.30,1.00
2024-05-21,174305.23,174650.69,175192.01,173827.03,18.03,0.07
2024-05-22,174906.72,174581.00,175962.45,174137.13,22.21,0.43
2024-05-23,176026.02,175341.89,177088.11,174737.04,28.34,0.62
2024-05-24,175900.71,176992.70,177140.04,175093.52,19.47,0.16
2024-05-27,174979.43,176049.15,176191.90,173801.52,18.01,-0.55
2024-05-28,175442.76,174835.34,176114.81,174722.60,11.31,0.20
2024-05-29,176348.64,175925.69,177190.86,175566.72,15.27,0.36
2024-05-30,175577.82,175884.85,176348.23,174658.93,12.16,-0.59
2024-05-31,173426.07,175222.24,176075.32,171151.62,25.19,-1.28
2024-06-03,170238.54,171079.42,172271.84,168639.35,10.73,-1.43
2024-06-04,170042.11,169631.54,171011.04,168163.56,9.16,-0.67
2024-06-05,171334.21,170141.08,173285.11,169137.22,9.71,1.05
2024-06-06,172237.45,171877.23,172910.34,171126.89,3.76,0.37
