Date,Value
"April 25, 2024",83.31
"April 24, 2024",83.34
"April 23, 2024",83.36
"April 22, 2024",83.47
"April 19, 2024",83.46
"April 18, 2024",83.53
"April 17, 2024",83.54
"April 16, 2024",83.54
"April 15, 2024",83.48
"April 12, 2024",83.59
"April 11, 2024",83.19
"April 10, 2024",83.37
"April 09, 2024",83.18
"April 08, 2024",83.25
"April 05, 2024",83.29
"April 04, 2024",83.44
"April 03, 2024",83.43
"April 02, 2024",83.32
"April 01, 2024",83.36
"March 29, 2024",83.34
"March 28, 2024",83.35
"March 27, 2024",83.34
"March 26, 2024",83.32
"March 25, 2024",83.42
"March 22, 2024",83.53
"May 31, 2024",83.43
"May 30, 2024",83.28
"May 29, 2024",83.33
"May 28, 2024",83.16
"May 24, 2024",83.09
"May 23, 2024",83.27
"May 22, 2024",83.26
"May 21, 2024",83.31
"May 20, 2024",83.34
"May 17, 2024",83.34
"May 16, 2024",83.46
"May 15, 2024",83.46
"May 14, 2024",83.5
"May 13, 2024",83.48
"May 10, 2024",83.54
"May 09, 2024",83.51
"May 08, 2024",83.45
"May 07, 2024",83.51
"May 06, 2024",83.48
"May 03, 2024",83.43
"May 02, 2024",83.44
"May 01, 2024",83.45
"April 30, 2024",83.44
"April 29, 2024",83.46
"April 26, 2024",83.38
"June 06, 2024",83.49
"June 05, 2024",83.43
"June 04, 2024",83.47
"June 03, 2024",83.13
